Palavra_correta,palavra_inicial,N_de_tentativas,Chutes,Vitoria
termo,serao,4,"('serao', 'certo', 'terno', 'termo')",True
suite,serao,2,"('serao', 'suite')",True
avido,serao,5,"('serao', 'laico', 'apito', 'animo', 'avido')",True
festa,serao,4,"('serao', 'cesta', 'besta', 'festa')",True
bebia,serao,4,"('serao', 'celta', 'media', 'bebia')",True
honra,serao,4,"('serao', 'loira', 'cobra', 'honra')",True
ouvir,serao,3,"('serao', 'licor', 'ouvir')",True
pesco,serao,3,"('serao', 'cesto', 'pesco')",True
fungo,serao,5,"('serao', 'cinto', 'mundo', 'punho', 'fungo')",True
pagam,serao,3,"('serao', 'vital', 'pagam')",True
ginga,serao,5,"('serao', 'cinta', 'linda', 'pinga', 'ginga')",True
pinta,serao,3,"('serao', 'cinta', 'pinta')",True
poder,serao,3,"('serao', 'comer', 'poder')",True
utero,serao,3,"('serao', 'treco', 'utero')",True
pilha,serao,4,"('serao', 'cinta', 'milha', 'pilha')",True
sarar,serao,3,"('serao', 'sarau', 'sarar')",True
fruta,serao,4,"('serao', 'latir', 'gruta', 'fruta')",True
piano,serao,4,"('serao', 'laico', 'inato', 'piano')",True
notar,serao,3,"('serao', 'lotar', 'notar')",True
musgo,serao,3,"('serao', 'nisto', 'musgo')",True
tensa,serao,3,"('serao', 'cesta', 'tensa')",True
melao,serao,3,"('serao', 'telao', 'melao')",True
feliz,serao,4,"('serao', 'cetim', 'debil', 'feliz')",True
miojo,serao,5,"('serao', 'cinto', 'limpo', 'miudo', 'miojo')",True
pagos,serao,5,"('serao', 'coisa', 'altos', 'panos', 'pagos')",True
texto,serao,4,"('serao', 'leito', 'cento', 'texto')",True
mamae,serao,3,"('serao', 'ideal', 'mamae')",True
ameno,serao,3,"('serao', 'aceno', 'ameno')",True
chuva,serao,4,"('serao', 'cinta', 'calma', 'chuva')",True
coral,serao,2,"('serao', 'coral')",True
forte,serao,3,"('serao', 'norte', 'forte')",True
tonta,serao,4,"('serao', 'otica', 'ponta', 'tonta')",True
temor,serao,3,"('serao', 'tenor', 'temor')",True
ligar,serao,5,"('serao', 'citar', 'pilar', 'lidar', 'ligar')",True
rolar,serao,6,"('serao', 'lotar', 'colar', 'polar', 'dolar', 'rolar')",True
navio,serao,4,"('serao', 'laico', 'patio', 'navio')",True
limbo,serao,4,"('serao', 'cinto', 'limpo', 'limbo')",True
calvo,serao,5,"('serao', 'laico', 'calmo', 'caldo', 'calvo')",True
fedor,serao,4,"('serao', 'tenor', 'depor', 'fedor')",True
balde,serao,3,"('serao', 'etica', 'balde')",True
oxala,serao,3,"('serao', 'otica', 'oxala')",True
talco,serao,3,"('serao', 'laico', 'talco')",True
labia,serao,4,"('serao', 'cinta', 'duzia', 'labia')",True
crime,serao,3,"('serao', 'tripe', 'crime')",True
grade,serao,3,"('serao', 'trela', 'grade')",True
carta,serao,4,"('serao', 'abril', 'turma', 'carta')",True
